?character	?state	?description
<http://purl.org/phenoscape/uuid/04f254cc-59cb-41fb-b88b-3749a9f203ed>	<http://purl.org/phenoscape/uuid/52edaa9e-e124-4000-b06a-9b18f3af0747>	Only hypural 2 fused with \"first\" ural centrum: absent
<http://purl.org/phenoscape/uuid/6ab4c1be-ee0c-4a70-919f-eb54a35e6b8c>	<http://purl.org/phenoscape/uuid/5a2ed7f7-b8c2-4f55-bda7-2564b88dd899>	Form of contact in males between hypural 3 with fused hypural 1 and 2: extensive contact with posterior interdigitations
<http://purl.org/phenoscape/uuid/8460a9f0-345b-49ff-be4a-a256df08c596>	<http://purl.org/phenoscape/uuid/5ba507e9-aa37-4b20-a2a1-465fbbe3490d>	Dorsal-, anal-, and pectoral-fin rays unbranched (Tyler et al. 2003): Dorsal-, anal-, and pectoral-fin rays unbranched
<http://purl.org/phenoscape/uuid/0e26f70d-76b0-483a-906d-b11ef72a97a3>	<http://purl.org/phenoscape/uuid/fef6155e-054d-4718-a9b8-eaad730f2501>	Haemal spine on preural centrum 3: autogenous
<http://purl.org/phenoscape/uuid/0f8c1dda-a93b-4d90-b4bf-9efdbaf03a49>	<http://purl.org/phenoscape/uuid/5661c66d-f418-4adc-a27d-7bf0cb657e81>	Hypural 3: proximal tip fused with compound centrum
<http://purl.org/phenoscape/uuid/a87fa5ea-918f-4a2d-94aa-e08b7b81fea0>	<http://purl.org/phenoscape/uuid/57f58e88-ced4-4957-8fc2-046483a8633d>	Proximal tip of hypural 1: fused to proximal tip of parhypural
<http://purl.org/phenoscape/uuid/c5d8d4b0-253f-4461-840b-600b739537cb>	<http://purl.org/phenoscape/uuid/59622240-c243-4a08-9788-c92b4c46e09d>	Spine base condyles on second dorsal-fin pterygiophore: slightly concave
<http://purl.org/phenoscape/uuid/c5d8d4b0-253f-4461-840b-600b739537cb>	<http://purl.org/phenoscape/uuid/63a9afb7-a751-4163-9059-61d1b2880b0f>	Spine base condyles on second dorsal-fin pterygiophore: distinctly concave
<http://purl.org/phenoscape/uuid/a82c90cc-42c6-4ded-a8b8-4d6e27cac939>	<http://purl.org/phenoscape/uuid/649a94ea-0043-4994-aead-065671124a05>	Anal fin skeleton composed of: segmented radials only
<http://purl.org/phenoscape/uuid/05030e76-c186-43f8-8ac3-d832f96170f9>	<http://purl.org/phenoscape/uuid/95e20c49-29ff-4c16-8bed-fb4f0bb25855>	Length of the neural spine on preural centrum 2: spine absent or short, not extending posteriorly past the middle of the ural centrum
<http://purl.org/phenoscape/uuid/05efea0b-bced-44d6-82fe-a7773ada955f>	<http://purl.org/phenoscape/uuid/964fad26-35e1-4a10-afa8-985be409b85f>	Paired row of denticles along lateral or trailing edge of median spines: present
<http://purl.org/phenoscape/uuid/1597f777-830a-4c42-ad56-bad65c0e77e5>	<http://purl.org/phenoscape/uuid/99f23121-7c91-4720-8e98-bf79e06bb16c>	Adipose fin: present
<http://purl.org/phenoscape/uuid/588c44a4-1ced-4b1e-aec5-f18ca620f212>	<http://purl.org/phenoscape/uuid/9a68c084-e4db-4b54-b165-9b9b25d38372>	Dark spot of pigmentation at base of middle rays of caudal fin: absent
<http://purl.org/phenoscape/uuid/5795d1ed-a6f1-4466-8e89-468a4153292d>	<http://purl.org/phenoscape/uuid/a60f500c-bc3f-4d37-8a31-dceaff0a7cb9>	Dark spot of pigmentation on basal portions of dorsal fin: present
<http://purl.org/phenoscape/uuid/80f7126c-b58e-410e-9cab-ee3470a513bf>	<http://purl.org/phenoscape/uuid/a7e7a6f7-1f1a-4370-b9d9-6ed32dfaf55f>	White spots at dorsal fin base: present
<http://purl.org/phenoscape/uuid/ca6adacf-5b27-4ebc-81a9-4700e2d3df4a>	<http://purl.org/phenoscape/uuid/a91f938a-2819-4362-95f8-5bb7097dce0e>	Pigmentation of distal portions of dorsal fin: hyaline
<http://purl.org/phenoscape/uuid/689b3dc8-9dbf-42f6-867f-5ba739cf6b2d>	<http://purl.org/phenoscape/uuid/a9e5d85b-6cd7-476a-b1fa-6a0fe8b55ace>	Nadadeira adiposa (comprimento da base): o comprimento da base da nadadeira adiposa é relativamente longo, maior do que o comprimento da base da nadadeira anal
<http://purl.org/phenoscape/uuid/407fc299-9cee-4251-98c4-179fd66c5d59>	<http://purl.org/phenoscape/uuid/aa51d00e-1c32-4698-8826-c36b2ad3d4fc>	Shape of the anal fin: distal margin straight or slightly convex
<http://purl.org/phenoscape/uuid/f85c2691-654a-4427-8f33-0eac1fda6523>	<http://purl.org/phenoscape/uuid/abf3bf5f-239c-42a8-8a33-9a91e2e13fb5>	Dorsal and anal fins: absent
<http://purl.org/phenoscape/uuid/8371c14c-bc72-4b6f-ad8c-d97b97a92084>	<http://purl.org/phenoscape/uuid/ae50c8f2-9420-4306-a6da-164be17aeaa2>	Posterior margin of anal fin: slightly convex
<http://purl.org/phenoscape/uuid/0668720d-5958-4ce0-96ab-25eeab5d0436>	<http://purl.org/phenoscape/uuid/b0b05355-8dc1-4310-a4ff-a3cfe3037864>	Dark spot at base of dorsal-fin origin: presence in life of a dark spot at base of dorsal-fin origin
<http://purl.org/phenoscape/uuid/1dd50287-5953-48bb-9cb9-4c2939dc42d8>	<http://purl.org/phenoscape/uuid/c59dd261-aa72-48b9-a92c-8a1a2c7e1d5a>	Dorsal and anal fins: absent
<http://purl.org/phenoscape/uuid/9520e40a-38fe-4ce7-8e81-f1e7aac39dc8>	<http://purl.org/phenoscape/uuid/c8ecf26e-1af8-4883-af46-2a6df7d83e79>	Dorsal fin, base of (LUND 2000, char. 60; POPLIN & LUND 2000, char. 38): scaled lobe
<http://purl.org/phenoscape/uuid/fc566879-3ad5-4d97-8d6d-277835fd7ed3>	<http://purl.org/phenoscape/uuid/d0f6d837-a8c0-478e-9843-f23d3b95f245>	Anal-fin rays: Ray segments relatively rectangular, either short or elongate, in males
<http://purl.org/phenoscape/uuid/143a80a3-989b-4ff2-8243-2a2be122fba6>	<http://purl.org/phenoscape/uuid/d15208a5-ccfa-4ed6-aef9-8c22e3dd1b53>	Dark spot of pigmentation on basal portions of dorsal fin: present
<http://purl.org/phenoscape/uuid/f491a3d2-6176-495f-adda-f512621728a9>	<http://purl.org/phenoscape/uuid/d33f585f-2140-4a7f-bc92-d56ba9a2724f>	Form of distal margin of anal fin: with deep notch on anterior one-third
<http://purl.org/phenoscape/uuid/65ff140b-9d51-4117-93e9-28521cf38ba6>	<http://purl.org/phenoscape/uuid/d416d0ab-990a-4a71-9ad7-4f48ff70d57f>	Shallow dorsal groove (dorsal spines depressible into groove): present
<http://purl.org/phenoscape/uuid/822318cb-0f6e-4da3-aff9-b28e48a43f27>	<http://purl.org/phenoscape/uuid/dc3a3f36-da27-4c11-941d-47bd1774bcaa>	Anal fin: absent
<http://purl.org/phenoscape/uuid/63e3395c-4f5b-4796-b7c2-689ab69dc4e0>	<http://purl.org/phenoscape/uuid/de2e8800-c109-4296-ba37-f9609ec9f6a7>	Anal-fin color pattern: not pigmented or with a pattern different from state 1
<http://purl.org/phenoscape/uuid/72df2680-52a8-4199-bd16-203dd08a72d9>	<http://purl.org/phenoscape/uuid/e3405c3b-3b5b-408d-9ff1-49e76f1a534d>	Anal fin: absent
<http://purl.org/phenoscape/uuid/ab12dfb5-6da0-46f8-921d-4325ced7526a>	<http://purl.org/phenoscape/uuid/e3f442f2-b5bb-4424-ac6c-e7281e40245d>	Form of distal margin of anal fin: with deep notch on anterior one-third
<http://purl.org/phenoscape/uuid/988068c7-490e-463c-a4d3-efbf8e6c561c>	<http://purl.org/phenoscape/uuid/e75e5606-0c40-426b-ae93-28e6a133cdd7>	Dorsal-fin color pattern: presence of a small and distinct black spot approximately at distal tip of first unbranched ray and midpoint of second unbranched ray
<http://purl.org/phenoscape/uuid/13f84cb8-c52f-48e6-a49c-09da4fa9f10a>	<http://purl.org/phenoscape/uuid/ea153783-25e5-42e5-9d1b-909902853d06>	Anterior dorsal fin support: separate radials and basal plate
<http://purl.org/phenoscape/uuid/c6028465-11c0-453a-86b6-6a19e67e13fb>	<http://purl.org/phenoscape/uuid/ed26b8af-5bd1-4843-9d7c-c1511fe3059b>	Anterior extension of dorsal fin: in front of the nostrils
<http://purl.org/phenoscape/uuid/0668720d-5958-4ce0-96ab-25eeab5d0436>	<http://purl.org/phenoscape/uuid/ed2a7eb6-1f9a-480c-8ff8-ef6f7945b016>	Dark spot at base of dorsal-fin origin: absent
<http://purl.org/phenoscape/uuid/80f7126c-b58e-410e-9cab-ee3470a513bf>	<http://purl.org/phenoscape/uuid/efbcea03-af1b-4501-9b2e-b4d34ca6c1de>	White spots at dorsal fin base: absent
<http://purl.org/phenoscape/uuid/3b391c29-9448-42da-9f7b-055598dadeb3>	<http://purl.org/phenoscape/uuid/f3b57b82-5330-4ced-aa1b-a57f00d4b089>	Shape of anal-fin pterygiophore tips: tips of pterygiophores shaped like an arrow-head; axial series of pterygiophores providing the ventral margin of the anal-fin base a scalloped appearance
<http://purl.org/phenoscape/uuid/38c89096-e5f8-46bb-9fec-d00ce9edd319>	<http://purl.org/phenoscape/uuid/f84dd183-f953-49d9-91c0-2979cd22424a>	Anal fin: absent
<http://purl.org/phenoscape/uuid/966e2e9e-421d-4387-b479-f083f195a291>	<http://purl.org/phenoscape/uuid/f975c944-4c68-4360-9d40-a7eff45cb171>	Anal fin: Absent
<http://purl.org/phenoscape/uuid/f491a3d2-6176-495f-adda-f512621728a9>	<http://purl.org/phenoscape/uuid/fbec1a04-311a-4d5d-9635-51d40e9547bf>	Form of distal margin of anal fin: approximately straight
<http://purl.org/phenoscape/uuid/be3673f8-aa11-4fc4-81d5-99300fe7bf8c>	<http://purl.org/phenoscape/uuid/004661b3-a5c2-4cf5-9a8b-0a39728bc062>	Anal fin separate: absent
<http://purl.org/phenoscape/uuid/6362fc97-b707-454d-b970-d55f354098ed>	<http://purl.org/phenoscape/uuid/05ac9af4-6805-46b3-87e0-3ea6554e0783>	(biii.) Anal fin: absent
<http://purl.org/phenoscape/uuid/d1e1e811-546a-4943-a18d-b2b0925e3f21>	<http://purl.org/phenoscape/uuid/06ca518e-31ce-414e-96d7-6eaabbdd718f>	Anal fin sexually dimorphic (Li et al. 1997): anal fin sexually dimorphic
<http://purl.org/phenoscape/uuid/1d3cf7af-30ef-4833-8ed5-ed7fd8368bea>	<http://purl.org/phenoscape/uuid/0a645815-5aba-419a-9b0e-49734c3e3ce0>	Dark spot between dorsal spines I and 2: absent
<http://purl.org/phenoscape/uuid/cc32c221-f1d2-4cbc-895a-294ee5dfc1ae>	<http://purl.org/phenoscape/uuid/0b3a6643-dcaa-4b53-a5bd-e19e1e8bff38>	Dark black blotches on the base of dorsal, anal, and caudal fins: Presence of three conspicuous rounded dark black blotches on the base of dorsal, anal, and caudal fins
<http://purl.org/phenoscape/uuid/7fd32974-9ebe-4bec-9b19-ddb75f3d87d8>	<http://purl.org/phenoscape/uuid/0d133f63-3469-4b9d-a437-b3d2499be845>	Distinct caudal fin: present
<http://purl.org/phenoscape/uuid/5bbb459d-19d4-46b0-8ea1-84925423cd69>	<http://purl.org/phenoscape/uuid/0e73c9af-59f5-4511-82a4-bc66df435a60>	Anal-fin pigmentation: anal fin of juveniles black
<http://purl.org/phenoscape/uuid/6965e8ef-cf57-44ac-829a-963890ed92df>	<http://purl.org/phenoscape/uuid/0fe2907a-923a-4ab4-b2cc-8ab3c540c4f1>	Margin of anal fin deeply indented near anterior end: Margin of anal fin deeply indented near anterior end
<http://purl.org/phenoscape/uuid/a78f6067-04c8-48b5-9b4a-2e06e2c7c256>	<http://purl.org/phenoscape/uuid/101bbafa-1372-4628-9a11-273906b78464>	Dorsal and anal fins with 2-3 color bar margin: present
<http://purl.org/phenoscape/uuid/61b3a103-80e5-45fa-9e5b-1bf0be090523>	<http://purl.org/phenoscape/uuid/1112338f-6b6a-4d67-baee-f8c28596dc24>	Posterior radials in posterior dorsal fin: not branched
<http://purl.org/phenoscape/uuid/988068c7-490e-463c-a4d3-efbf8e6c561c>	<http://purl.org/phenoscape/uuid/17360ebd-f643-45ca-9498-aa1fad812fa3>	Dorsal-fin color pattern: not pigmented or with a pattern different from state 1
<http://purl.org/phenoscape/uuid/6ace743b-70be-4581-be1d-79b890876051>	<http://purl.org/phenoscape/uuid/18d45427-e75d-4679-ab29-6020f3f09f02>	Dark band along distal margin of anal and pelvic fins in adult males: present
<http://purl.org/phenoscape/uuid/b3e2ce3c-0825-4841-8c27-85c62d0ff5dd>	<http://purl.org/phenoscape/uuid/190131ce-46d7-44aa-8973-c5a19c65e98a>	Margin of Anal Fin Indented: Margin of anal fin not indented
<http://purl.org/phenoscape/uuid/931a46c9-7cae-45c1-8f4e-4a8c01c82f3d>	<http://purl.org/phenoscape/uuid/1ea68536-5f5a-434f-bf8c-45fa75dccf26>	Dorsal fin of breeding males and females: posterior interradial membranes dark in breeding males only
<http://purl.org/phenoscape/uuid/9520e40a-38fe-4ce7-8e81-f1e7aac39dc8>	<http://purl.org/phenoscape/uuid/1f2db9f0-dc42-4a12-9f15-088cfa4f870b>	Dorsal fin, base of (LUND 2000, char. 60; POPLIN & LUND 2000, char. 38): guard scales
<http://purl.org/phenoscape/uuid/2de7442b-9098-4d36-8c5f-5c16014d47fd>	<http://purl.org/phenoscape/uuid/1fa3c3b5-d27b-45b1-9ccf-69b9dabcd3b6>	Dorsal fin spot: Cyphocharax aninha is distinguished from C. notatus and C. vexillapinnus by the absence of a spot on the dorsal fin
<http://purl.org/phenoscape/uuid/b3e2ce3c-0825-4841-8c27-85c62d0ff5dd>	<http://purl.org/phenoscape/uuid/2106d15e-94b3-4c03-9e97-d59ef04bdf86>	Margin of Anal Fin Indented: Margin of anal fin indented
<http://purl.org/phenoscape/uuid/c68193b9-9369-476b-8b72-c33eeb9bdd97>	<http://purl.org/phenoscape/uuid/2157ccd0-e36e-4d07-9dcc-e35acf4eb44f>	Length of the base of the anal fin: elongate, fin base is more than 75 % of the fin height
<http://purl.org/phenoscape/uuid/c6028465-11c0-453a-86b6-6a19e67e13fb>	<http://purl.org/phenoscape/uuid/2ae82454-9c0e-4920-9eb0-3caa3fa72780>	Anterior extension of dorsal fin: behind the nostrils
<http://purl.org/phenoscape/uuid/6ace743b-70be-4581-be1d-79b890876051>	<http://purl.org/phenoscape/uuid/346ac369-406c-47fb-890b-e92ff4f50a77>	Dark band along distal margin of anal and pelvic fins in adult males: absent
<http://purl.org/phenoscape/uuid/1e06962a-7e25-419e-bedb-b4acc99cff6f>	<http://purl.org/phenoscape/uuid/35454c7a-9aed-49ae-84b1-e880a175b546>	Margin of anal fin: indented (BALDWIN & JOHNSON 1996; character 101)
<http://purl.org/phenoscape/uuid/5f605af1-70fc-4433-94f0-5b243411ac88>	<http://purl.org/phenoscape/uuid/3879df37-4dd8-44d1-a428-51d455f68bc8>	Dark conspicuous spot on dorsal fin: (0) absent
<http://purl.org/phenoscape/uuid/61b3a103-80e5-45fa-9e5b-1bf0be090523>	<http://purl.org/phenoscape/uuid/3c843227-9ca1-4b19-a1a5-9cee818e572a>	Posterior radials in posterior dorsal fin: branched
<http://purl.org/phenoscape/uuid/38a11320-3f51-4224-b189-13cb1409b826>	<http://purl.org/phenoscape/uuid/40c50000-7d35-44d8-93ef-759c72217729>	Anal fin: absent
<http://purl.org/phenoscape/uuid/5bbb459d-19d4-46b0-8ea1-84925423cd69>	<http://purl.org/phenoscape/uuid/42f99c93-7c7a-4490-9b62-566142d19240>	Anal-fin pigmentation: anal fin of juveniles not particularly dark
<http://purl.org/phenoscape/uuid/c68193b9-9369-476b-8b72-c33eeb9bdd97>	<http://purl.org/phenoscape/uuid/45f7365b-8dd0-445e-b0f6-4deaaffb636e>	Length of the base of the anal fin: short fin base, fin base is less than 25 % of the fin height
<http://purl.org/phenoscape/uuid/5f605af1-70fc-4433-94f0-5b243411ac88>	<http://purl.org/phenoscape/uuid/47504d4a-8b2e-42e2-8938-4b3bc30866f3>	Dark conspicuous spot on dorsal fin: (1) present
<http://purl.org/phenoscape/uuid/1361a4cc-30d3-4c5b-b9aa-83984971d68a>	<http://purl.org/phenoscape/uuid/47b73e9f-aaee-4bc1-9bb1-4c0ed12c63b9>	Dorsal-fin color pattern: not pigmented or with a pattern different from state 1
<http://purl.org/phenoscape/uuid/143a80a3-989b-4ff2-8243-2a2be122fba6>	<http://purl.org/phenoscape/uuid/4a50fddf-a09d-4a51-8807-94b3d56a0977>	Dark spot of pigmentation on basal portions of dorsal fin: absent
<http://purl.org/phenoscape/uuid/80c1f03f-ea2e-4ef5-9800-1d918da60524>	<http://purl.org/phenoscape/uuid/4c0cbeab-fb19-4439-8500-ddab228eb931>	Dark spot of pigmentation on basal portions of dorsal fin: absent
<http://purl.org/phenoscape/uuid/63e3395c-4f5b-4796-b7c2-689ab69dc4e0>	<http://purl.org/phenoscape/uuid/4c962c1a-54ff-47cf-8b97-0782554a64eb>	Anal-fin color pattern: more strongly pigmented along distal portion of branched anal-fin rays
<http://purl.org/phenoscape/uuid/c70036dc-94cd-4cff-b002-660de55a44bc>	<http://purl.org/phenoscape/uuid/5007c0e6-81bd-4e1d-9c84-45bee464b079>	Dorsal and anal fins: absent
<http://purl.org/phenoscape/uuid/bfe46372-c0cc-4dfb-83b1-b80f35ae70c6>	<http://purl.org/phenoscape/uuid/506749bd-f1f7-419a-855a-fd41ab03f7d0>	A stripe: absent
<http://purl.org/phenoscape/uuid/0f1e9946-67a9-4d17-9b89-df6de02eb447>	<http://purl.org/phenoscape/uuid/fedc0e0e-9994-4165-a705-0f332fce49be>	Presence or absence of dark stripes that extend across anal fin at some point in ontogeny: present
<http://purl.org/phenoscape/uuid/ca6adacf-5b27-4ebc-81a9-4700e2d3df4a>	<http://purl.org/phenoscape/uuid/544e3553-02ab-452b-9d37-369d8f0b9d59>	Pigmentation of distal portions of dorsal fin: discrete dark spot at distal tip of fin
<http://purl.org/phenoscape/uuid/2de7442b-9098-4d36-8c5f-5c16014d47fd>	<http://purl.org/phenoscape/uuid/55a19015-5046-477e-bb8d-7b5f63a652f7>	Dorsal fin spot: presence
<http://purl.org/phenoscape/uuid/0f1e9946-67a9-4d17-9b89-df6de02eb447>	<http://purl.org/phenoscape/uuid/6527c34e-8579-4cda-b4dc-c9ed6a9c0cfd>	Presence or absence of dark stripes that extend across anal fin at some point in ontogeny: absent
<http://purl.org/phenoscape/uuid/a5d6bc79-00a2-467d-8f2f-49d297f40722>	<http://purl.org/phenoscape/uuid/68ebf026-7936-4b28-a4d5-780a32a7cedb>	Dark stripes that extend across anal fin at some point in ontogeny: present
<http://purl.org/phenoscape/uuid/65ff140b-9d51-4117-93e9-28521cf38ba6>	<http://purl.org/phenoscape/uuid/69c9ff6f-42c9-4374-9ed6-49b277d86a8d>	Shallow dorsal groove (dorsal spines depressible into groove): absent
<http://purl.org/phenoscape/uuid/fc566879-3ad5-4d97-8d6d-277835fd7ed3>	<http://purl.org/phenoscape/uuid/6c594491-cfc4-4299-b349-c2bd160b4544>	Anal-fin rays: The ray segments of the posterior branch of the second through fifth anal-fin rays of fully adult males are thickened and have a characteristic somewhat asymmetrical chevron shape in lateral profile
<http://purl.org/phenoscape/uuid/7d07267c-1c3a-48a1-86a6-129a47f4b765>	<http://purl.org/phenoscape/uuid/6d000aa2-6183-41b9-8464-46ced2fb8861>	The reduction of the dark pigmentation in the dorsal fin: The distal portions of the dorsal fin are typically darkly pigmented in all Chilodus species (Isbriicker and Nijssen, 1988, figs. 1, 4, 5), with a similar pattern in Caenotropus maculosus (Figures 13, 14).
<http://purl.org/phenoscape/uuid/9427d5ac-88cb-450f-b241-69f62d4e3c56>	<http://purl.org/phenoscape/uuid/6db10bbe-5fbd-44c9-a703-7cc473eab063>	Presence or absence of dark spot of pigmentation on basal portions of dorsal fin: present
<http://purl.org/phenoscape/uuid/39405a4d-f818-4fb9-bb49-eb6be3d411f0>	<http://purl.org/phenoscape/uuid/6e00f7a2-664e-413c-806c-7cf9994a7663>	Dorsal and anal fins: absent
<http://purl.org/phenoscape/uuid/6ff640bf-8a94-46d5-8073-abc1e6b95bfc>	<http://purl.org/phenoscape/uuid/6efd9f0e-9eca-4717-a995-182839211cea>	Length of anal-fin base (as a percentage of SL): long base, longer than 30% SL
<http://purl.org/phenoscape/uuid/04e66a0d-600b-499a-9f7b-d014131286d1>	<http://purl.org/phenoscape/uuid/6fd4eb3f-dd9b-4628-9432-711470bbf02d>	Anal-fin base: longer anal-fin base (19.0–21.8% SL)
<http://purl.org/phenoscape/uuid/6ff640bf-8a94-46d5-8073-abc1e6b95bfc>	<http://purl.org/phenoscape/uuid/7252f6bc-139a-49f6-8d2e-45950eabb9f4>	Length of anal-fin base (as a percentage of SL): short base, less than 26% SL
<http://purl.org/phenoscape/uuid/a5d6bc79-00a2-467d-8f2f-49d297f40722>	<http://purl.org/phenoscape/uuid/7446a6e7-2abd-4d09-80cd-f87424542e50>	Dark stripes that extend across anal fin at some point in ontogeny: absent
<http://purl.org/phenoscape/uuid/91f4d886-7d0e-4f2e-b23a-59d50104b473>	<http://purl.org/phenoscape/uuid/779d9f58-6f1b-4d1f-b14c-90b12ceb1b49>	anal fin and / or anal plate: absent
<http://purl.org/phenoscape/uuid/6abf4d2a-6d98-41cc-9978-0e9fbec5e33f>	<http://purl.org/phenoscape/uuid/86705bf6-d625-4309-a44e-b1f7dbf02ca1>	Anal fin: absent
<http://purl.org/phenoscape/uuid/bfe46372-c0cc-4dfb-83b1-b80f35ae70c6>	<http://purl.org/phenoscape/uuid/8791b3ed-654e-4fd7-bef3-eff9f193a207>	A stripe: present
<http://purl.org/phenoscape/uuid/04e66a0d-600b-499a-9f7b-d014131286d1>	<http://purl.org/phenoscape/uuid/8d94932d-8a0c-43d3-944a-1dd8effe97a6>	Anal-fin base: 14.2–18.3% SL
<http://purl.org/phenoscape/uuid/9427d5ac-88cb-450f-b241-69f62d4e3c56>	<http://purl.org/phenoscape/uuid/8dcac0f9-c2a0-4092-a493-fbe9b86d24f8>	Presence or absence of dark spot of pigmentation on basal portions of dorsal fin: absent
<http://purl.org/phenoscape/uuid/cc32c221-f1d2-4cbc-895a-294ee5dfc1ae>	<http://purl.org/phenoscape/uuid/90573d7e-380d-4add-9a59-44a0ba9fad97>	Dark black blotches on the base of dorsal, anal, and caudal fins: None blotches as state 1
<http://purl.org/phenoscape/uuid/1361a4cc-30d3-4c5b-b9aa-83984971d68a>	<http://purl.org/phenoscape/uuid/90b7c822-6500-4127-b654-49b9277588b4>	Dorsal-fin color pattern: black spot on dorsal-fin, along mid-length of second unbranched to sixth branched ray
